,Date,Close,Deviation,Increase Rate,Predict
0,2001-04-02,12937.8603515625,0.979432501431432,1,
1,2001-04-03,13124.4697265625,0.9942706758414432,1,
2,2001-04-04,13242.7802734375,1.0040256268982004,1,
3,2001-04-05,13381.3798828125,1.0148276347464282,1,
4,2001-04-06,13383.759765625,1.0150708502673118,0,
5,2001-04-09,12841.759765625,0.9744062517078016,0,
6,2001-04-10,12620.26953125,0.9584818163572121,1,
7,2001-04-11,13174.9296875,1.0010268298923868,1,
8,2001-04-12,13352.4404296875,1.0148121900316873,1,
9,2001-04-13,13385.7197265625,1.0177049011255188,0,
10,2001-04-16,13254.8896484375,1.0085491131498268,0,
11,2001-04-17,13067.08984375,0.995423563840652,1,
12,2001-04-18,13641.7900390625,1.0397186771064026,1,
13,2001-04-19,13868.2802734375,1.057137070181109,0,
14,2001-04-20,13765.669921875,1.0494859383966895,0,
15,2001-04-23,13715.599609375,1.0457852549084312,1,
16,2001-04-24,13743.1796875,1.0478254331811925,1,
17,2001-04-25,13827.5,1.0542781125671603,1,
18,2001-04-26,13973.0302734375,1.0651759363846334,1,
19,2001-04-27,13934.3203125,1.06210255606301,1,
20,2001-05-01,14425.4599609375,1.0986367512293187,1,
21,2001-05-02,14421.6396484375,1.0973456896282874,1,
22,2001-05-07,14529.41015625,1.103944535908306,0,
23,2001-05-08,14289.0498046875,1.0842825310555388,0,
24,2001-05-09,14084.849609375,1.0678166288857338,0,
25,2001-05-10,14017.7900390625,1.0615528550496116,0,
26,2001-05-11,14043.919921875,1.062698586045483,0,
27,2001-05-14,13873.01953125,1.0489750798800541,1,
28,2001-05-15,14054.0302734375,1.0616316452718415,0,
29,2001-05-16,13694.26953125,1.0339779778606322,1,
30,2001-05-17,13910.669921875,1.049346357015628,1,
31,2001-05-18,13877.76953125,1.0458675893389395,1,
32,2001-05-21,14176.830078125,1.0671611052484988,0,
33,2001-05-22,14091.1904296875,1.0593972921687294,0,
34,2001-05-23,14067.7001953125,1.0563151621942122,0,
35,2001-05-24,13895.7900390625,1.0425589772863149,0,
36,2001-05-25,13765.919921875,1.032086326841431,0,
37,2001-05-28,13737.76953125,1.029104032214487,0,
38,2001-05-29,13773.8896484375,1.030664114128936,0,
39,2001-05-30,13493.349609375,1.008651003386811,0,
40,2001-05-31,13262.1396484375,0.9901336736099766,0,
41,2001-06-01,13261.83984375,0.9889549511695875,0,
42,2001-06-04,13312.349609375,0.9919514862327355,0,
43,2001-06-05,13182.0,0.9816801619241815,0,
44,2001-06-06,13174.83984375,0.9805088892966882,1,
45,2001-06-07,13277.509765625,0.98735430223286,1,
46,2001-06-08,13430.2197265625,0.9971545038893788,0,
47,2001-06-11,13226.48046875,0.9803208962060815,0,
48,2001-06-12,12840.099609375,0.950513030293452,0,
49,2001-06-13,12823.4501953125,0.9484957409872038,0,
50,2001-06-14,12846.66015625,0.9494941701961758,0,
51,2001-06-15,12790.3798828125,0.944637013029603,0,
52,2001-06-18,12697.7900390625,0.9382678415524165,0,
53,2001-06-19,12574.259765625,0.9294600899734067,1,
54,2001-06-20,12674.6396484375,0.9375035055712648,1,
55,2001-06-21,12962.4296875,0.9598552561430254,1,
56,2001-06-22,13044.6103515625,0.966648955844156,0,
57,2001-06-25,12896.4697265625,0.956698079532917,0,
58,2001-06-26,12978.8203125,0.9629184510901377,0,
59,2001-06-27,12828.98046875,0.9520025718684875,0,0.0
60,2001-06-28,12679.8798828125,0.9412385545136617,1,0.0
61,2001-06-29,12969.0498046875,0.9628890371044737,0,0.0
62,2001-07-02,12751.1796875,0.9472894890925069,0,0.0
63,2001-07-03,12817.41015625,0.9528751580467129,0,0.0
64,2001-07-04,12629.01953125,0.939748581697793,0,0.0
65,2001-07-05,12607.2998046875,0.9384052431818111,0,0.0
66,2001-07-06,12306.080078125,0.9163415722978415,0,0.0
67,2001-07-09,12239.6796875,0.9124563064879719,0,0.0
68,2001-07-10,12300.41015625,0.9181838906567841,0,0.0
69,2001-07-11,12005.1103515625,0.8976826487445848,1,0.0
70,2001-07-12,12407.9501953125,0.9287853475035578,0,0.0
71,2001-07-13,12355.150390625,0.9256552282586,0,0.0
72,2001-07-16,12343.3701171875,0.9262744179524454,0,0.0
73,2001-07-17,12128.5703125,0.912140046311852,0,0.0
74,2001-07-18,11892.580078125,0.8964969750851326,0,0.0
75,2001-07-19,11908.3896484375,0.8997316271863457,0,0.0
76,2001-07-23,11609.6298828125,0.8795219723496288,1,0.0
77,2001-07-24,11883.25,0.9024663174524515,1,0.0
78,2001-07-25,11891.6103515625,0.9054867773448254,0,0.0
79,2001-07-26,11858.5595703125,0.9053551146667967,0,0.0
80,2001-07-27,11798.080078125,0.9037591613341261,0,0.0
81,2001-07-30,11579.26953125,0.8902283049105315,1,0.0
82,2001-07-31,11860.76953125,0.9149991810688064,1,0.0
83,2001-08-01,11959.330078125,0.9253745370232235,1,0.0
84,2001-08-02,12399.2001953125,0.9615004172549866,0,0.0
85,2001-08-03,12241.9697265625,0.9514917027444386,0,0.0
86,2001-08-06,12243.900390625,0.9538659262032525,0,0.0
87,2001-08-07,12319.4599609375,0.9616923291005635,0,0.0
88,2001-08-08,12163.669921875,0.9518719931219272,0,0.0
89,2001-08-09,11754.5595703125,0.9221899553981165,0,0.0
90,2001-08-10,11735.0595703125,0.9232866244818255,0,0.0
91,2001-08-13,11477.5595703125,0.9058782793578462,1,0.0
92,2001-08-14,11917.9501953125,0.9434399098480073,0,0.0
93,2001-08-15,11755.400390625,0.9334489048544966,0,0.0
94,2001-08-16,11515.01953125,0.9174606894101568,0,0.0
95,2001-08-17,11445.5400390625,0.9149017479262832,0,0.0
96,2001-08-20,11257.9404296875,0.9029228364082714,1,0.0
97,2001-08-21,11280.3798828125,0.9077042171313926,1,0.0
98,2001-08-22,11396.4296875,0.9199757742229134,0,0.0
99,2001-08-23,11126.919921875,0.9010885354394458,1,0.0
100,2001-08-24,11166.3095703125,0.9068436676405149,1,0.0
101,2001-08-27,11275.009765625,0.9181405954531355,0,0.0
102,2001-08-28,11189.400390625,0.9138021889772835,0,0.0
103,2001-08-29,10979.759765625,0.899377397711333,0,0.0
104,2001-08-30,10938.4501953125,0.898737598801079,0,0.0
105,2001-08-31,10713.509765625,0.8833573438896531,0,0.0
106,2001-09-03,10409.6796875,0.8618833029567999,1,0.0
107,2001-09-04,10772.58984375,0.8949614686012963,0,0.0
108,2001-09-05,10598.7900390625,0.8832636908686854,0,0.0
109,2001-09-06,10650.330078125,0.890245900768184,0,0.0
110,2001-09-07,10516.7900390625,0.8819461371839805,0,0.0
111,2001-09-10,10195.6904296875,0.8581305243024385,0,0.0
112,2001-09-11,10292.9501953125,0.8692488396940015,0,0.0
113,2001-09-12,9610.099609375,0.8149816823696096,1,1.0
114,2001-09-13,9613.08984375,0.8187783108593176,1,1.0
115,2001-09-14,10008.8896484375,0.8560791677196609,0,0.0
116,2001-09-17,9504.41015625,0.8170534837336105,1,0.0
117,2001-09-18,9679.8798828125,0.835990618412753,1,0.0
118,2001-09-19,9939.599609375,0.8621927689369857,0,0.0
119,2001-09-20,9785.16015625,0.8525478424643326,0,0.0
120,2001-09-21,9554.990234375,0.836288731280486,1,0.0
121,2001-09-25,9693.9697265625,0.852525643369744,1,0.0
122,2001-09-26,9641.7001953125,0.8518111244928938,1,0.0
123,2001-09-27,9696.5302734375,0.860609949372839,1,0.0
124,2001-09-28,9774.6796875,0.8712245876903576,1,0.0
125,2001-10-01,9972.2802734375,0.8923297724923172,1,0.0
126,2001-10-02,10136.5595703125,0.9099738850635082,0,0.0
127,2001-10-03,9924.23046875,0.8940099565024578,1,0.0
128,2001-10-04,10205.48046875,0.9222467097424699,1,0.0
129,2001-10-05,10205.8701171875,0.9247879945723081,0,0.0
130,2001-10-09,10011.76953125,0.9104947590133295,0,1.0
131,2001-10-10,9964.8798828125,0.9095256664660193,1,1.0
132,2001-10-11,10347.009765625,0.947280649869048,1,1.0
133,2001-10-12,10632.349609375,0.9756312187856722,0,1.0
